car_make,car_model,car_year,price,location,salesperson,purchase_date,customer_name,customer_email,sales_channel
Chevrolet,Impala SS,1961,79741.24,New York,Brunhilde Farnell,1/10/2005,Tisha Deerness,tdeerness5t@icio.us,Online
Lexus,IS,2003,34047.07,Houston,Gwyn O'Deoran,11/24/2006,Gus Ollie,gollie5u@cdbaby.com,Online
Mazda,Miata MX-5,2002,93473.87,Los Angeles,Meredith Basketter,7/25/2001,Norah Janca,njanca5v@wiley.com,Online
Pontiac,6000,2019,74973.51,Los Angeles,Holly-anne Sayre,10/11/2000,Brannon Scroggie,bscroggie5w@bandcamp.com,Online
Chevrolet,Corvette,1957,56906.09,Miami,Clarice Basson,1/15/2006,Nickolaus Morey,nmorey5x@constantcontact.com,Dealership
Infiniti,IPL G,1994,1001.82,New York,Averil Millan,4/22/2012,Leese Shilvock,lshilvock5y@bing.com,Auction
Scion,tC,1915,45487.78,New York,Katee Whittlesea,12/2/2010,Haze Ram,hram5z@samsung.com,Online
Chevrolet,Cavalier,2008,79274.27,Los Angeles,Fredericka Mercy,10/28/2013,Cody Reside,creside60@ft.com,Online
Lexus,ES,1908,88308.34,New York,Wit Snaith,8/16/2005,Ophelie Longdon,olongdon61@e-recht24.de,Auction
Chevrolet,APV,1937,56680.47,New York,Cacilie Kornes,10/5/2016,Boot McMurty,bmcmurty62@exblog.jp,Dealership
Audi,A4,1968,56688.4,Houston,Reginauld Eliff,3/26/2020,Gratia Blakesley,gblakesley63@chicagotribune.com,Auction
Volvo,XC90,1915,89339.46,Chicago,Fulton Neubigging,7/31/2022,Blair Curror,bcurror64@canalblog.com,Dealership
Hyundai,Santa Fe,1965,58173.9,Chicago,Weber Hockell,3/12/2004,Peterus Blatchford,pblatchford65@berkeley.edu,Auction
Dodge,Dakota,1949,26702.39,Los Angeles,Angil Helliar,9/23/2011,Annabal Crosthwaite,acrosthwaite66@ca.gov,Auction
Ford,Explorer,1913,12935.0,New York,Ezri Alty,5/1/2006,Hercules Gabbott,hgabbott67@nifty.com,Auction
Toyota,Sienna,1983,3134.6,Chicago,Hubert Cloughton,8/20/2014,Hall Lanktree,hlanktree68@photobucket.com,Online
Chevrolet,Tahoe,2008,89480.19,Miami,Mort Agnolo,10/4/2000,Biddy Gladdolph,bgladdolph69@house.gov,Auction
Suzuki,Daewoo Magnus,1908,63705.85,Los Angeles,Milena Algeo,3/18/2022,Lynn Peepall,lpeepall6a@time.com,Online
Mazda,Mazda6,1951,32527.28,Miami,Konrad Wix,10/9/2005,Millard Huitson,mhuitson6b@ox.ac.uk,Dealership
BMW,5 Series,1958,57216.15,Los Angeles,Padget Jozsa,8/17/2017,Bing Heliar,bheliar6c@etsy.com,Dealership
Plymouth,Neon,1917,43599.89,Los Angeles,Jenna Lombardo,11/3/2020,Emyle Awdry,eawdry6d@histats.com,Dealership
BMW,M5,1950,39624.02,Houston,Rowland Proswell,8/17/2000,Alika Kimbly,akimbly6e@vinaora.com,Auction
Geo,Prizm,1910,41195.97,Miami,Gwenore Charlson,10/19/2012,Harlene Corriea,hcorriea6f@engadget.com,Dealership
Mercury,Sable,1997,54266.97,Houston,Linda Chadwen,5/11/2020,Deanna Arstall,darstall6g@nydailynews.com,Dealership
Maserati,GranTurismo,1911,76032.78,Houston,Patty Pygott,8/26/2012,Christie McConnachie,cmcconnachie6h@ocn.ne.jp,Dealership
Chevrolet,Silverado 2500,1953,64375.49,Houston,Isadora Siddell,7/1/2015,Mackenzie Kingsman,mkingsman6i@epa.gov,Online
Mazda,626,1913,37074.07,Chicago,Vilhelmina Garthshore,10/4/2004,Aline Leversha,aleversha6j@scribd.com,Auction
Mercedes-Benz,300D,1950,82086.12,New York,Adrienne Tolputt,12/3/2011,Trevor Mardall,tmardall6k@ustream.tv,Auction
Volvo,V70,2001,88320.35,Houston,Daveta Allflatt,5/24/2016,Xena Alcock,xalcock6l@dion.ne.jp,Dealership
BMW,5 Series,2013,50476.97,Chicago,Luise Lindman,12/20/2013,Arlette Engelmann,aengelmann6m@altervista.org,Auction
GMC,Vandura G3500,1933,27901.61,Chicago,Marcille Maddin,7/20/2011,Sharona Admans,sadmans6n@qq.com,Auction
Studebaker,Avanti,1963,54168.58,Chicago,Gayel Capon,4/27/2004,Solomon McChesney,smcchesney6o@mapy.cz,Auction
Lexus,SC,1942,53382.26,Miami,Britney Downham,2/17/2013,Eddy Island,eisland6p@typepad.com,Online
Infiniti,G35,1936,38775.48,Houston,Barbi Prophet,3/15/2002,Sigfrid Ralphs,sralphs6q@bluehost.com,Auction
GMC,Rally Wagon 3500,1943,44984.94,Miami,Nilson Hightown,4/27/2017,Matteo Sackett,msackett6r@bloglovin.com,Dealership
Mitsubishi,Lancer,1973,47184.69,New York,Brandea Nadin,10/15/2008,Fae Garlicke,fgarlicke6s@tamu.edu,Dealership
Toyota,Avalon,1947,97465.95,Chicago,Jo-ann Cownden,2/3/2002,Arliene Burchess,aburchess6t@dailymotion.com,Auction
Kia,Spectra,1948,65274.82,Chicago,Nert MacRedmond,9/5/2007,Kanya Shillam,kshillam6u@cbslocal.com,Dealership
Acura,Vigor,1926,15782.72,Houston,Averyl Biggans,11/18/2002,Antone Sinnie,asinnie6v@alexa.com,Dealership
Toyota,4Runner,1986,24593.36,New York,Osmond Heasman,3/14/2006,Gradey Terlinden,gterlinden6w@mit.edu,Dealership
Nissan,Sentra,1932,43288.18,Chicago,Fallon Trenbey,12/30/2002,Ula McRitchie,umcritchie6x@cdbaby.com,Dealership
Aston Martin,DB9,1972,49395.15,Chicago,Moshe McNern,7/27/2013,Lucine Vaen,lvaen6y@php.net,Auction
Toyota,RAV4,1990,46764.59,Houston,Garreth Van der Merwe,1/5/2005,Ambrosio Castell,acastell6z@alibaba.com,Auction
GMC,Vandura G2500,1958,57708.79,New York,Amandie Rake,11/22/2005,Silvana Barney,sbarney70@dmoz.org,Dealership
Hyundai,Excel,2022,20911.03,Houston,Melonie Maty,6/1/2009,Sheilah Dulwich,sdulwich71@mit.edu,Auction
Maserati,Karif,1974,70466.88,Chicago,Ky Lymbourne,2/3/2021,Hew Turbefield,hturbefield72@paypal.com,Online
Mercury,Milan,1952,22383.84,Chicago,Thedrick Chandlar,6/24/2013,Misty Paddingdon,mpaddingdon73@nifty.com,Dealership
Volvo,S80,1919,49769.31,Los Angeles,Giles Walework,1/2/2015,Bari Dawley,bdawley74@indiatimes.com,Online
Mitsubishi,Raider,1970,42141.02,Los Angeles,Janet Kinahan,2/17/2011,Alden Harborow,aharborow75@mozilla.com,Online
Mercury,Monterey,2012,6689.68,Houston,Lilah Frise,11/15/2014,Giffer Larway,glarway76@harvard.edu,Online
Chrysler,300M,2011,24079.2,Los Angeles,Darleen Boome,10/28/2016,Bonnee Farrall,bfarrall77@virginia.edu,Dealership
Land Rover,Defender 90,1906,93498.71,New York,Dottie Grabbam,4/7/2018,Sarah Quantrell,squantrell78@spotify.com,Dealership
Cadillac,DeVille,1952,83736.22,Los Angeles,Arny Wheatland,12/2/2004,Rustie Luxton,rluxton79@mashable.com,Online
Toyota,Corolla,1946,22677.23,Houston,Martyn Levins,1/12/2013,Delly McBratney,dmcbratney7a@wp.com,Dealership
Porsche,911,1924,19154.51,New York,Gerald Goad,10/13/2004,Michael Virgin,mvirgin7b@parallels.com,Auction
Ford,E250,1918,49368.6,New York,Ulick Sanzio,2/19/2006,Nancie Blodget,nblodget7c@reddit.com,Dealership
Ford,Aerostar,1911,68657.89,Los Angeles,Jarrad Ortelt,11/29/2019,Peta Ornillos,pornillos7d@imgur.com,Dealership
Chevrolet,Malibu,2022,24777.57,Los Angeles,Jackie Cromie,6/23/2022,Iolande Beddow,ibeddow7e@bing.com,Dealership
Toyota,Tacoma,1967,11382.4,Chicago,Wendel Giscken,11/14/2005,Jere Crenshaw,jcrenshaw7f@clickbank.net,Auction
BMW,M5,1965,98313.4,Houston,Fran Hayen,4/24/2011,Dwayne Pickvance,dpickvance7g@naver.com,Dealership
Pontiac,Firebird,1914,24936.84,Los Angeles,Gretna Redd,4/4/2009,Sydelle Tuison,stuison7h@bbb.org,Dealership
Jaguar,XJ,1986,69160.26,New York,Klarrisa Ineson,6/16/2018,Jessalyn Hauger,jhauger7i@wikimedia.org,Auction
Plymouth,Prowler,1906,40935.77,Miami,Annmarie Mann,1/10/2012,Emilee Fieller,efieller7j@kickstarter.com,Auction
GMC,Yukon XL 1500,1919,58285.02,Los Angeles,Eziechiele Galer,9/13/2014,Kelley Hemshall,khemshall7k@cam.ac.uk,Online
Ford,Probe,1937,44658.54,Chicago,Bentlee Blind,1/10/2008,Delphine Cullnean,dcullnean7l@etsy.com,Online
Pontiac,Aztek,1956,87094.72,Miami,Rab Sloan,11/21/2017,Nico McGorley,nmcgorley7m@blogs.com,Online
Volkswagen,New Beetle,2014,98832.63,Chicago,Maurise Credland,5/6/2005,Marilyn Arundale,marundale7n@usgs.gov,Auction
Lincoln,MKT,1944,31185.84,Chicago,Siana Schultheiss,10/30/2001,Sonny Guile,sguile7o@php.net,Auction
Buick,Century,2016,31366.89,Houston,Tisha Houliston,5/6/2001,Renault Pendergrast,rpendergrast7p@dailymotion.com,Online
Jeep,Cherokee,2001,33238.97,Miami,Margalo Sparey,6/7/2000,Jacynth Karle,jkarle7q@nasa.gov,Dealership
Suzuki,Sidekick,1986,26372.72,New York,Winny Stayte,2/9/2007,Roy Gayter,rgayter7r@flickr.com,Dealership
Buick,Century,1975,11500.23,Chicago,Odie Grunder,11/8/2017,Raine Kort,rkort7s@ask.com,Auction
Subaru,Forester,1925,36754.5,Miami,Arlena Rudolf,7/5/2014,Charissa Coyett,ccoyett7t@dion.ne.jp,Online
Kia,Sedona,1987,15344.17,Houston,Novelia Vicarey,11/12/2005,Rona Broughton,rbroughton7u@storify.com,Online
Dodge,Dynasty,1920,93188.51,Chicago,Kerrie Norval,3/30/2005,Newton Goodlett,ngoodlett7v@seattletimes.com,Online
Pontiac,Grand Prix,1910,4648.33,New York,Collete Rearden,12/8/2012,Wendie Purdom,wpurdom7w@wikispaces.com,Dealership
Lincoln,Navigator,1924,1157.31,Miami,Mercie Fanthom,3/11/2006,Elvera Carcass,ecarcass7x@yandex.ru,Dealership
Volkswagen,Touareg,1961,26961.6,Houston,Michell Fanshaw,5/21/2005,Bryna Benge,bbenge7y@netlog.com,Auction
Volkswagen,Cabriolet,1970,97558.29,New York,Dom Gillise,5/27/2012,Cecilio VanBrugh,cvanbrugh7z@businessweek.com,Online
Saturn,VUE,1903,93539.12,Miami,Thayne Roches,11/25/2001,Alexei Bailes,abailes80@sohu.com,Online
Nissan,Frontier,2004,9425.92,Los Angeles,Glen Birt,1/19/2012,Dewain Krolle,dkrolle81@digg.com,Online
Ford,Edge,2016,75702.28,Miami,Jory Benz,10/11/2006,Jacquie Sor,jsor82@multiply.com,Auction
Mercedes-Benz,G-Class,2008,33735.68,Chicago,Garrett Cressor,8/20/2011,Leanna Lamprecht,llamprecht83@squarespace.com,Online
Bentley,Continental GTC,1987,78276.72,Miami,Brunhilde Gladwell,8/8/2009,Ingemar Pummery,ipummery84@deviantart.com,Online
Hyundai,Excel,1919,21518.43,Houston,Blanca Fraine,1/31/2001,Osgood Chad,ochad85@netlog.com,Dealership
Nissan,Frontier,1947,47738.11,Houston,Freddie Bazek,7/26/2007,Lawry Esterbrook,lesterbrook86@artisteer.com,Dealership
Ford,Aerostar,1905,25004.74,Chicago,Frans Langthorn,4/3/2000,Kirby Zamora,kzamora87@gnu.org,Auction
Dodge,Charger,2008,98168.32,Chicago,Bear Obin,6/14/2013,Gypsy Jennery,gjennery88@tinyurl.com,Dealership
Pontiac,LeMans,1948,15467.78,Houston,Basilio Killich,11/28/2010,Eduino Miners,eminers89@unblog.fr,Auction
Cadillac,Escalade ESV,1961,19066.94,New York,Gladys Arnell,5/17/2010,Mayer Sterte,msterte8a@phoca.cz,Dealership
Cadillac,DTS,1986,76080.26,Chicago,Heinrik Beckingham,9/11/2005,Mersey Mablestone,mmablestone8b@paypal.com,Online
Ford,Ranger,2018,58818.06,Chicago,Boycey Masi,11/18/2001,Emelita Havers,ehavers8c@posterous.com,Auction
GMC,Safari,1967,15322.97,Miami,Mathilda Minall,10/4/2015,Husein Van Weedenburg,hvan8d@arizona.edu,Dealership
GMC,Canyon,1938,3110.0,Chicago,La verne Gwin,10/15/2011,Richmound Abbes,rabbes8e@disqus.com,Online
Hyundai,Elantra,1987,18148.0,New York,Findlay Sant,7/5/2002,Sandie de Cullip,sde8f@usgs.gov,Auction
Audi,A3,1963,27850.78,Los Angeles,Irita Jaffra,11/12/2018,Eachelle Deards,edeards8g@sciencedirect.com,Auction
Volkswagen,Golf,1966,91255.7,Houston,Keelia Barkshire,11/2/2008,Marga Merrydew,mmerrydew8h@feedburner.com,Dealership
Mazda,Protege,1986,71007.4,New York,Ronnie Aspinwall,11/30/2011,Adelheid Libbe,alibbe8i@vk.com,Online
GMC,2500,1921,23307.37,Chicago,Iorgos Eccleshare,12/29/2004,Melodee cornhill,mcornhill8j@rakuten.co.jp,Auction
Oldsmobile,Silhouette,1940,96951.45,Los Angeles,Laurette Messiter,11/1/2000,Enrika Bodley,ebodley8k@amazon.co.jp,Auction
Lexus,ES,2013,50569.72,Miami,Paolo Coldridge,7/16/2006,Ronni Judkin,rjudkin8l@disqus.com,Auction
Porsche,Cayman,1992,59981.32,Los Angeles,Tamarra Gerardeaux,5/30/2006,Sisile Guillain,sguillain8m@senate.gov,Auction
Toyota,Sienna,1979,30321.39,Chicago,Hervey Viccary,10/22/2000,Adey Fitchet,afitchet8n@ftc.gov,Online
Mitsubishi,Eclipse,1985,30086.97,Chicago,Teddi Curtiss,10/19/2018,Luis Redley,lredley8o@usatoday.com,Dealership
Chevrolet,Suburban 1500,1966,60390.69,Houston,Andreana McCaughen,7/8/2019,Kerry Heild,kheild8p@msn.com,Auction
Lamborghini,Reventón,1924,70754.92,Miami,Ferdinande Bernli,5/25/2008,Casar Lowdwell,clowdwell8q@ebay.com,Auction
BMW,X6 M,1933,4496.53,Miami,Vinita Midner,4/14/2020,Robert Petken,rpetken8r@lycos.com,Dealership
Toyota,4Runner,1995,27055.98,Miami,Veronique Bent,7/1/2022,Roderigo Gould,rgould8s@icio.us,Online
GMC,Sierra 1500,1979,46606.79,New York,Hugh Friar,11/13/2019,Petunia Feige,pfeige8t@is.gd,Auction
Ford,Expedition EL,1974,53213.6,Houston,Paloma Ravilious,4/13/2015,Addy Poetz,apoetz8u@xinhuanet.com,Online
Isuzu,i-290,1919,47845.66,Chicago,Robina Martt,2/8/2017,Whitney Colaton,wcolaton8v@smugmug.com,Online
Dodge,Intrepid,1985,53220.67,Miami,Abra Sirett,9/16/2022,Natala Woodfield,nwoodfield8w@bravesites.com,Dealership
Chevrolet,Camaro,1967,4218.0,Miami,Helli Bellhanger,11/29/2017,Libbie Bredee,lbredee8x@bandcamp.com,Auction
Chrysler,Aspen,1994,75607.38,Los Angeles,Wilmer Tomek,9/19/2020,Catherin Janous,cjanous8y@google.com,Auction
Mitsubishi,Eclipse,1970,42528.82,New York,Jacintha Iddons,4/23/2018,Jasper Roose,jroose8z@google.cn,Auction
Chevrolet,Cruze,1963,14917.47,Houston,Ardra Duffree,7/22/2003,Renaldo Beig,rbeig90@google.ca,Auction
Buick,Enclave,2018,94247.45,Miami,Billie Mengo,7/16/2005,Lorilyn McConway,lmcconway91@wikispaces.com,Online
Acura,MDX,1967,91803.55,Los Angeles,Brigham Clears,1/25/2013,Abra Kahen,akahen92@surveymonkey.com,Dealership
Subaru,XT,1984,30293.13,Chicago,Rosamond Jewell,3/24/2017,Rhody Longstreet,rlongstreet93@nyu.edu,Auction
Toyota,MR2,1918,16997.74,New York,Lilith Tumelty,8/27/2000,Thalia Brann,tbrann94@bandcamp.com,Auction
Ford,Taurus,1937,34133.46,Chicago,Korey Lansdale,5/25/2001,Lillian Huchot,lhuchot95@businessweek.com,Auction
Ford,Fusion,1921,34063.57,Miami,Vito Bushen,9/16/2015,Savina Hardan,shardan96@washingtonpost.com,Online
Nissan,Titan,2015,41856.97,Chicago,Enoch Osbourne,12/4/2001,Rosalia Lanktree,rlanktree97@facebook.com,Dealership
Chevrolet,Malibu,1986,18708.0,Chicago,Emelita Connop,4/2/2000,Alon Dmiterko,admiterko98@tinypic.com,Auction
Mazda,RX-7,1928,46320.04,New York,Sasha Normandale,3/17/2014,Alexine Safont,asafont99@newsvine.com,Online
Audi,200,2008,13043.76,New York,Mellicent Norwell,4/27/2008,Jacklyn Scargle,jscargle9a@harvard.edu,Dealership
Chevrolet,Silverado 2500,2003,16561.55,Chicago,Misty Okenfold,11/7/2000,Anitra MacNally,amacnally9b@nsw.gov.au,Dealership
Ford,Thunderbird,1975,68773.26,New York,Brade Pennetta,12/19/2016,Redford Abbets,rabbets9c@ucla.edu,Online
GMC,Savana 1500,1921,43419.48,Miami,Jules Vasyushkhin,5/20/2009,Raynor Ferandez,rferandez9d@youtu.be,Auction
Audi,A8,1949,84631.1,Houston,Melody Sidry,11/6/2006,Lianne Callow,lcallow9e@vinaora.com,Online
Volkswagen,Jetta,1995,44036.64,New York,Jaquelyn Stears,3/22/2012,Sansone Ticksall,sticksall9f@disqus.com,Auction
Jeep,Wrangler,1947,57173.88,Miami,Sayre Josifovitz,10/8/2006,Shandeigh Jenny,sjenny9g@t.co,Online
Dodge,Caravan,1954,88000.12,Houston,Hollie Vigus,11/25/2019,Aylmer Borton,aborton9h@lulu.com,Auction
Saab,9-5,1945,3740.48,Los Angeles,Imojean Catling,2/12/2018,Carlotta Belfrage,cbelfrage9i@blogger.com,Dealership
Toyota,Corolla,1976,58806.6,Chicago,Cassie Holbie,8/28/2005,Eulalie Faloon,efaloon9j@businessweek.com,Auction
GMC,Sierra 3500,1958,68296.81,Los Angeles,Ade Fullun,10/19/2009,Talyah Limming,tlimming9k@comcast.net,Online
Toyota,Sienna,1939,12053.81,Houston,Tito Megahey,10/15/2021,Kennan Guenther,kguenther9l@alexa.com,Online
Volkswagen,Cabriolet,1917,80370.76,Chicago,Tonye Hanmer,11/2/2007,Bank Orrock,borrock9m@etsy.com,Online
Porsche,944,1939,31615.83,Houston,Darby Oene,11/1/2022,Murray Lindeberg,mlindeberg9n@domainmarket.com,Auction
Chevrolet,Silverado 2500,2019,21772.78,Chicago,Idette Lasham,1/30/2015,Farlee Lushey,flushey9o@livejournal.com,Online
Volkswagen,Golf,1991,13908.35,Los Angeles,Vyky Twelvetrees,10/8/2004,Roobbie Spreag,rspreag9p@vkontakte.ru,Dealership
Scion,xA,1996,69811.5,Houston,Kordula Tierny,8/30/2012,Tate Sauvain,tsauvain9q@stumbleupon.com,Online
Ford,F-Series Super Duty,2012,90959.43,Houston,Ryley Yanshinov,2/7/2010,Ginny Maywood,gmaywood9r@desdev.cn,Dealership
Acura,NSX,2012,93760.02,Chicago,Shawn Stoade,2/6/2004,Paolina Stephens,pstephens9s@domainmarket.com,Online
Chrysler,Town & Country,1958,33697.38,Houston,Frayda Dalgarnocht,1/27/2019,Rhianon Lithcow,rlithcow9t@tinyurl.com,Auction
Chevrolet,Corvette,1915,35675.13,New York,Nataline Thackeray,12/2/2002,Tabitha Kynman,tkynman9u@nasa.gov,Auction
Ford,F450,2014,21429.88,Los Angeles,Colas Milthorpe,3/7/2007,Marietta Lawlie,mlawlie9v@google.pl,Online
Honda,Prelude,1902,91272.73,Los Angeles,Hamid Granville,3/25/2020,Eleonore Rameaux,erameaux9w@istockphoto.com,Dealership
Lexus,LS,2011,36849.6,New York,Irma Ridsdole,6/26/2021,Gaby Surgison,gsurgison9x@deviantart.com,Auction
Subaru,Brat,1992,3829.22,Chicago,Feodora Doerren,9/28/2002,Ana Wyd,awyd9y@flickr.com,Online
BMW,3 Series,1929,70073.96,Los Angeles,Scarlett Jurzyk,4/19/2012,Arlene Gilks,agilks9z@answers.com,Online
Infiniti,QX,1935,18424.29,Los Angeles,Caryl Giddings,7/22/2006,Codie Christophe,cchristophea0@themeforest.net,Auction
Dodge,Ram Van 3500,1946,92611.65,Chicago,Jordain Wyldish,1/16/2007,Ainslie Bottinelli,abottinellia1@squarespace.com,Auction
Bentley,Azure,1974,89242.66,Miami,Grayce Thacker,10/27/2006,Callida O'Gready,cogreadya2@ow.ly,Auction
Mitsubishi,Galant,2006,76727.33,Houston,Cristionna Eaklee,2/12/2022,Martica Huster,mhustera3@t-online.de,Online
Mercedes-Benz,S-Class,1921,52113.16,New York,Danya Antyukhin,12/31/2016,Chrisse Reye,creyea4@statcounter.com,Auction
Mercury,Grand Marquis,1919,4228.44,Miami,Garner Guerri,2/10/2010,Kip Schowenburg,kschowenburga5@de.vu,Auction
Chrysler,Cirrus,1902,59533.87,Miami,Ricardo Fielder,10/3/2000,Malcolm Pealing,mpealinga6@icq.com,Online
Land Rover,LR3,1924,68208.77,New York,Becky Churches,9/21/2018,Bevin Jiras,bjirasa7@wunderground.com,Auction
Porsche,928,1945,77112.25,Los Angeles,Teddie Panchin,10/18/2013,Sibley Priddy,spriddya8@unicef.org,Dealership
Lexus,LS Hybrid,2020,85815.41,Chicago,Mitchael Biggam,12/19/2012,Morry Anear,maneara9@newsvine.com,Dealership
Isuzu,Trooper,2002,34747.34,New York,Shir O'Rafferty,9/27/2003,Elnore Seifenmacher,eseifenmacheraa@cargocollective.com,Dealership
Mitsubishi,Diamante,1958,18162.26,New York,Wallache Greenrod,2/15/2019,Evelyn Kobierzycki,ekobierzyckiab@eventbrite.com,Online
Toyota,RAV4,1979,39276.5,Miami,Nan Duncklee,9/1/2011,Piper McGinty,pmcgintyac@answers.com,Dealership
Toyota,Celica,1928,6472.17,Houston,Joshua Faustin,7/4/2012,Kimmy Dorow,kdorowad@infoseek.co.jp,Auction
Toyota,Celica,1912,4101.62,Chicago,Marlow Summerbell,5/8/2009,Ogdan Taill,otaillae@merriam-webster.com,Auction
Toyota,Sienna,1961,36421.44,New York,Ginni Jakubczyk,2/19/2016,Shellysheldon Hammer,shammeraf@mayoclinic.com,Online
Ford,EXP,1989,63989.0,Los Angeles,Jinny Wrout,12/2/2007,Deane Benbow,dbenbowag@xinhuanet.com,Auction
Suzuki,X-90,1913,60874.97,Los Angeles,Carmela Theseira,1/11/2006,Courtnay Simm,csimmah@fotki.com,Auction
Lamborghini,Countach,1938,99049.61,Houston,Nikolaos Pitone,5/27/2008,Bobbie Schober,bschoberai@amazon.de,Auction
Pontiac,Trans Sport,1959,24097.89,Houston,Kimbell Frampton,4/24/2017,Kelby Hugin,khuginaj@i2i.jp,Dealership
Cadillac,Escalade EXT,1988,35903.05,Los Angeles,Stephi Watson-Brown,9/15/2008,Steffie Pedrozzi,spedrozziak@hibu.com,Auction
Hyundai,Santa Fe,1984,6032.5,Los Angeles,Ingamar Arman,10/12/2014,Carlie Phettis,cphettisal@sohu.com,Dealership
Toyota,Highlander,1955,88497.71,Los Angeles,Anstice Stockill,6/7/2004,Beverly Scard,bscardam@comcast.net,Auction
Volvo,C70,1938,28596.68,New York,Emmet Paulich,7/11/2000,Jasmin Garred,jgarredan@sciencedirect.com,Online
Hyundai,Genesis,1972,50977.69,Miami,Averil Gemmell,7/31/2000,Raina Aberdein,raberdeinao@ucoz.ru,Auction
Nissan,Frontier,1943,74439.4,New York,Suzanne Guillem,5/29/2006,Merrel Gueinn,mgueinnap@wufoo.com,Online
Chevrolet,Express 3500,1938,97081.65,Chicago,Willard Slyde,6/10/2019,Dell Cornelleau,dcornelleauaq@economist.com,Dealership
Mercedes-Benz,CL65 AMG,2002,69964.11,Houston,Jehu Trundler,9/3/2017,Mattheus Hardson,mhardsonar@example.com,Auction
Subaru,Impreza,2011,61011.23,Houston,Filberto Winchurch,3/13/2010,Anna-maria Pavese,apaveseas@yahoo.co.jp,Online
Honda,Passport,2020,13248.49,Los Angeles,Cleo Rubertelli,6/25/2007,Karlotte Dunstone,kdunstoneat@cyberchimps.com,Dealership
Nissan,350Z,1929,84689.98,Chicago,Pierrette Cord,6/21/2000,Cherlyn Fullerton,cfullertonau@forbes.com,Auction
Chevrolet,3500,2000,10217.08,Chicago,Orelia Furnell,7/7/2000,Veriee Elflain,velflainav@ifeng.com,Auction
Acura,RDX,1947,79806.63,Chicago,Thatch Purdey,3/20/2018,Flinn Bussetti,fbussettiaw@ustream.tv,Auction
Acura,TL,2010,83404.44,Houston,Randal Ridewood,5/30/2003,Saunder Tulip,stulipax@msn.com,Auction
Mitsubishi,Mirage,2021,43020.15,Houston,Lyle Ketley,5/1/2005,Dyana Bille,dbilleay@engadget.com,Online
Honda,Pilot,1902,56677.05,Houston,Hartwell Bothie,3/3/2005,Willem Jacombs,wjacombsaz@cocolog-nifty.com,Online
Chevrolet,Sportvan G20,1939,11755.5,Los Angeles,Westley Slyvester,2/14/2000,Miran Bovaird,mbovairdb0@ca.gov,Online
Chevrolet,Suburban 2500,1976,88304.3,Houston,Cortie Melrose,8/30/2010,Issiah Jerrams,ijerramsb1@youtu.be,Dealership
Ford,Expedition,1921,67964.4,Houston,Richie Keady,5/30/2013,Laureen Gagg,lgaggb2@chron.com,Dealership
Land Rover,Range Rover,1912,69815.84,Miami,Malva Mauger,7/17/2004,Muire de Aguirre,mdeb3@google.cn,Online
Honda,Pilot,1935,49207.58,Houston,Yardley Terlinden,1/19/2000,Philomena Bent,pbentb4@pinterest.com,Dealership
Land Rover,Discovery,1941,65664.27,Miami,Lyell Carlisi,6/24/2014,Jilly Garretson,jgarretsonb5@de.vu,Auction
Hummer,H1,1991,78845.14,Los Angeles,Felisha Frantzeni,7/1/2014,Florri L'Hommee,flhommeeb6@liveinternet.ru,Dealership
Lexus,GX,1948,50127.01,New York,Frederick Schouthede,1/2/2016,Rusty Eidler,reidlerb7@ning.com,Auction
Chevrolet,Silverado 2500,1934,52479.51,Houston,Emmery Elves,8/28/2011,Tess Batten,tbattenb8@chronoengine.com,Auction
Dodge,Dynasty,1926,11977.86,Miami,Jon Sodor,3/21/2004,Roderich Mose,rmoseb9@virginia.edu,Auction
Jaguar,XJ,1916,5941.21,New York,Nannette Jorg,9/8/2008,Andonis Plet,apletba@deviantart.com,Auction
Chevrolet,Camaro,1911,80840.62,Miami,Phyllis Braunfeld,7/7/2017,Artus Hrycek,ahrycekbb@shareasale.com,Online
Pontiac,Firebird,1982,67877.86,Miami,Zack Hickenbottom,2/24/2008,Huntington Whitwell,hwhitwellbc@yolasite.com,Auction
Jeep,Patriot,1983,22867.48,Los Angeles,Flem Franks,11/18/2003,Rick Bonsey,rbonseybd@php.net,Auction
Chevrolet,Uplander,2012,31555.76,New York,Marilin Gland,10/24/2009,Margalo Wilmot,mwilmotbe@wisc.edu,Dealership
Nissan,Titan,1943,27711.0,New York,Andre Benoi,7/14/2021,Marlowe Rajchert,mrajchertbf@economist.com,Dealership
Chevrolet,Express,1980,74694.35,Los Angeles,Carmelia Devas,11/10/2010,Corey Perren,cperrenbg@163.com,Auction
Lamborghini,Diablo,1914,47609.64,New York,Paton Gale,6/5/2018,Llewellyn Kielt,lkieltbh@patch.com,Dealership
Mazda,Protege,1971,12469.78,New York,Herculie Garn,5/15/2001,Caddric MacCafferty,cmaccaffertybi@qq.com,Online
Porsche,911,1913,5292.75,Houston,Fenelia Gotts,2/19/2013,Brandie Flicker,bflickerbj@fotki.com,Online
Maserati,GranTurismo,2021,86229.81,Houston,Kris Langlois,2/25/2006,Harman Billitteri,hbillitteribk@arizona.edu,Auction
Buick,Century,1946,6128.94,New York,Constantine Teale,1/16/2001,Sayre Revey,sreveybl@cargocollective.com,Auction
Volkswagen,Golf III,1997,91035.13,Los Angeles,Nertie Slowcock,1/3/2010,Madelon Grimshaw,mgrimshawbm@cbc.ca,Auction
